inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,0,2,8,0,0.0,3,0.0
1,0,2,8,1,0.0,1,0.0
1,0,2,8,3,0.0,1,0.0
1,0,2,8,7,0.0,1,0.0
1,0,2,9,0,0.0,3,0.0
1,0,2,9,1,0.0,1,0.0
1,0,2,9,2,0.0,1,0.0
1,0,2,10,0,0.0,3,0.0
1,0,2,10,1,0.0,2,0.0
1,0,2,10,3,0.0,1,0.0
1,1,0,-10,0,0.0,3,0.0
1,1,0,-10,1,0.0,2,0.0
1,1,0,-10,3,0.0,1,0.0
1,1,0,-9,0,0.0,3,0.0
1,1,0,-9,1,0.0,1,0.0
1,1,0,-8,0,0.0,5,0.0
1,1,0,-8,1,0.0,1,0.0
1,1,0,-8,3,0.0,1,0.0
1,1,0,-7,0,0.015373392,14,0.41949567
1,1,0,-7,1,0.0188184,9,0.51350003
1,1,0,-7,3,0.0025649779,2,0.06999087
1,1,0,-7,7,0.0051299557,1,0.13998175
1,1,0,-6,0,0.032604158,41,0.8896737
1,1,0,-6,1,0.035049822,13,0.95640886
1,1,0,-6,2,0.02514177,5,0.6860466
1,1,0,-6,3,0.043322213,5,1.1821387
1,1,0,-6,5,0.057197243,2,1.5607483
1,1,0,-5,0,0.029781083,105,0.81264013
1,1,0,-5,1,0.035825662,22,0.97757936
1,1,0,-5,2,0.024058197,7,0.656479
1,1,0,-5,3,0.084984824,8,2.3189914
1,1,0,-5,5,0.040588446,2,1.107542
1,1,0,-5,7,0.05130641,3,1.4000045
1,1,0,-4,0,0.056238193,319,1.5345786
1,1,0,-4,1,0.07943583,80,2.1675756
1,1,0,-4,2,0.06324771,27,1.7258482
1,1,0,-4,3,0.0549793,19,1.500227
1,1,0,-4,4,0.016613662,1,0.45333907
1,1,0,-4,5,0.12875204,6,3.513273
1,1,0,-4,6,0.03410355,4,0.9305878
1,1,0,-4,7,0.03949102,5,1.0775964
1,1,0,-3,0,0.023036148,753,0.6285903
1,1,0,-3,1,0.05475902,192,1.4942163
1,1,0,-3,2,0.06135371,43,1.6741663
1,1,0,-3,3,0.08112119,52,2.2135642
1,1,0,-3,4,0.122200966,7,3.334513
1,1,0,-3,5,0.17296503,23,4.7197185
1,1,0,-3,6,0.12022317,8,3.2805448
1,1,0,-3,7,0.16663662,8,4.5470343
1,1,0,-2,0,0.041925576,1610,1.1440284
1,1,0,-2,1,0.0811677,414,2.214833
1,1,0,-2,2,0.0911426,93,2.4870195
1,1,0,-2,3,0.14898533,109,4.065381
1,1,0,-2,4,0.026552308,14,0.7245362
1,1,0,-2,5,0.13182352,33,3.597085
1,1,0,-2,6,0.092868425,25,2.5341122
1,1,0,-2,7,0.118981525,26,3.2466638
1,1,0,-1,0,0.038547546,3490,1.0518517
1,1,0,-1,1,0.052192118,910,1.4241729
1,1,0,-1,2,0.056637313,206,1.5454694
1,1,0,-1,3,0.07060777,221,1.926683
1,1,0,-1,4,0.081750885,23,2.2307465
1,1,0,-1,5,0.065304294,80,1.7819664
1,1,0,-1,6,0.03674304,44,1.002612
1,1,0,-1,7,0.101542115,52,2.7707925
1,1,0,0,0,0.038673405,16716,1.055286
1,1,0,0,1,0.05474895,4173,1.4939414
1,1,0,0,2,0.049539365,935,1.3517869
1,1,0,0,3,0.06944436,1071,1.8949369
1,1,0,0,4,0.052957498,126,1.4450579
1,1,0,0,5,0.07295791,365,1.9908116
1,1,0,0,6,0.063047886,147,1.7203956
1,1,0,0,7,0.07367188,246,2.0102937
1,1,0,1,0,0.024298012,634,0.6630229
1,1,0,1,1,0.034304824,304,0.93608004
