inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
1,1,0,-2,7,12,24,0.5
1,1,0,-1,0,1578,3454,0.4568616097278518
1,1,0,-1,1,465,936,0.4967948717948718
1,1,0,-1,2,104,189,0.5502645502645502
1,1,0,-1,3,121,214,0.5654205607476636
1,1,0,-1,4,10,24,0.4166666666666667
1,1,0,-1,5,68,110,0.6181818181818182
1,1,0,-1,6,3,5,0.6
1,1,0,-1,7,32,50,0.64
1,1,0,0,0,9720,16728,0.5810616929698709
1,1,0,0,1,2644,4258,0.6209488022545796
1,1,0,0,2,594,914,0.649890590809628
1,1,0,0,3,736,1096,0.6715328467153284
1,1,0,0,4,93,125,0.744
1,1,0,0,5,345,468,0.7371794871794872
1,1,0,0,6,22,25,0.88
1,1,0,0,7,183,244,0.75
1,1,0,1,0,447,639,0.6995305164319249
1,1,0,1,1,351,493,0.7119675456389453
1,1,0,1,2,37,52,0.7115384615384616
1,1,0,1,3,142,191,0.743455497382199
1,1,0,1,4,9,13,0.6923076923076923
1,1,0,1,5,114,146,0.7808219178082192
1,1,0,1,6,7,12,0.5833333333333334
1,1,0,1,7,60,73,0.821917808219178
1,1,0,2,0,157,204,0.7696078431372549
1,1,0,2,1,125,154,0.8116883116883117
1,1,0,2,2,14,16,0.875
1,1,0,2,3,55,61,0.9016393442622951
1,1,0,2,4,4,4,1.0
1,1,0,2,5,27,37,0.7297297297297297
1,1,0,2,6,3,3,1.0
1,1,0,2,7,27,30,0.9
1,1,0,3,0,73,85,0.8588235294117647
1,1,0,3,1,48,56,0.8571428571428571
1,1,0,3,2,3,5,0.6
1,1,0,3,3,14,16,0.875
1,1,0,3,5,6,8,0.75
1,1,0,3,6,1,1,1.0
1,1,0,3,7,8,9,0.8888888888888888
1,1,0,4,0,23,32,0.71875
1,1,0,4,1,10,11,0.9090909090909091
1,1,0,4,2,2,3,0.6666666666666666
1,1,0,4,3,9,9,1.0
1,1,0,4,5,1,1,1.0
1,1,0,4,7,2,2,1.0
1,1,0,5,0,8,10,0.8
1,1,0,5,1,3,4,0.75
1,1,0,5,3,1,1,1.0
1,1,0,5,5,2,2,1.0
1,1,0,5,7,1,1,1.0
1,1,0,6,0,2,2,1.0
1,1,0,6,1,1,1,1.0
1,1,0,7,0,2,2,1.0
1,1,1,-10,1,0,1,0.0
1,1,1,-10,3,1,2,0.5
1,1,1,-9,0,0,1,0.0
1,1,1,-9,1,0,2,0.0
1,1,1,-9,3,0,1,0.0
1,1,1,-8,0,0,2,0.0
1,1,1,-8,1,0,2,0.0
1,1,1,-8,3,0,1,0.0
1,1,1,-7,0,0,3,0.0
1,1,1,-7,1,0,1,0.0
1,1,1,-7,3,0,1,0.0
1,1,1,-6,0,1,16,0.0625
1,1,1,-6,1,1,10,0.1
1,1,1,-6,3,1,4,0.25
1,1,1,-6,4,0,2,0.0
1,1,1,-6,6,0,1,0.0
1,1,1,-6,7,1,3,0.3333333333333333
1,1,1,-5,0,8,41,0.1951219512195122
1,1,1,-5,1,5,22,0.22727272727272727
1,1,1,-5,2,0,5,0.0
1,1,1,-5,3,3,5,0.6
1,1,1,-5,4,0,1,0.0
1,1,1,-5,5,1,7,0.14285714285714285
1,1,1,-5,7,2,6,0.3333333333333333
1,1,1,-4,0,19,153,0.12418300653594772
1,1,1,-4,1,11,65,0.16923076923076924
1,1,1,-4,2,3,23,0.13043478260869565
1,1,1,-4,3,3,24,0.125
1,1,1,-4,4,0,3,0.0
1,1,1,-4,5,5,13,0.38461538461538464
1,1,1,-4,6,0,1,0.0
1,1,1,-4,7,1,6,0.16666666666666666
1,1,1,-3,0,99,414,0.2391304347826087
1,1,1,-3,1,45,192,0.234375
1,1,1,-3,2,16,45,0.35555555555555557
1,1,1,-3,3,15,63,0.23809523809523808
1,1,1,-3,4,2,9,0.2222222222222222
1,1,1,-3,5,14,37,0.3783783783783784
1,1,1,-3,6,2,3,0.6666666666666666
1,1,1,-3,7,11,19,0.5789473684210527
1,1,1,-2,0,332,1001,0.33166833166833165
1,1,1,-2,1,198,537,0.3687150837988827
1,1,1,-2,2,33,96,0.34375
1,1,1,-2,3,79,206,0.38349514563106796
1,1,1,-2,4,12,24,0.5
1,1,1,-2,5,39,82,0.47560975609756095
1,1,1,-2,6,0,4,0.0
1,1,1,-2,7,21,47,0.44680851063829785
1,1,1,-1,0,971,2272,0.4273767605633803
1,1,1,-1,1,549,1179,0.46564885496183206
1,1,1,-1,2,104,225,0.4622222222222222
1,1,1,-1,3,194,385,0.5038961038961038
1,1,1,-1,4,32,64,0.5
1,1,1,-1,5,106,202,0.5247524752475248
1,1,1,-1,6,11,21,0.5238095238095238
1,1,1,-1,7,64,111,0.5765765765765766
1,1,1,0,0,6110,11065,0.5521915951197469
1,1,1,0,1,3147,5406,0.5821309655937846
1,1,1,0,2,673,1111,0.6057605760576058
1,1,1,0,3,1123,1821,0.6166941241076331
1,1,1,0,4,200,331,0.6042296072507553
1,1,1,0,5,537,836,0.6423444976076556
1,1,1,0,6,62,96,0.6458333333333334
1,1,1,0,7,308,467,0.6595289079229122
1,1,1,1,0,606,898,0.6748329621380846
1,1,1,1,1,820,1164,0.7044673539518901
1,1,1,1,2,94,151,0.6225165562913907
1,1,1,1,3,379,537,0.7057728119180633
1,1,1,1,4,28,40,0.7
1,1,1,1,5,264,352,0.75
1,1,1,1,6,27,34,0.7941176470588235
1,1,1,1,7,153,200,0.765
1,1,1,2,0,303,399,0.7593984962406015
1,1,1,2,1,320,403,0.794044665012407
1,1,1,2,2,43,55,0.7818181818181819
1,1,1,2,3,145,177,0.8192090395480226
1,1,1,2,4,12,15,0.8
1,1,1,2,5,122,157,0.7770700636942676
1,1,1,2,6,8,10,0.8
1,1,1,2,7,59,69,0.855072463768116
1,1,1,3,0,161,188,0.8563829787234043
1,1,1,3,1,138,164,0.8414634146341463
1,1,1,3,2,16,20,0.8
1,1,1,3,3,60,67,0.8955223880597015
1,1,1,3,4,5,7,0.7142857142857143
1,1,1,3,5,35,46,0.7608695652173914
1,1,1,3,6,5,6,0.8333333333333334
1,1,1,3,7,26,30,0.8666666666666667
1,1,1,4,0,55,67,0.8208955223880597
1,1,1,4,1,52,62,0.8387096774193549
1,1,1,4,2,9,11,0.8181818181818182
1,1,1,4,3,27,31,0.8709677419354839
1,1,1,4,5,15,16,0.9375
1,1,1,4,6,2,3,0.6666666666666666
1,1,1,4,7,7,7,1.0
1,1,1,5,0,23,26,0.8846153846153846
1,1,1,5,1,21,22,0.9545454545454546
1,1,1,5,2,2,2,1.0
1,1,1,5,3,6,6,1.0
1,1,1,5,4,1,1,1.0
1,1,1,5,5,5,5,1.0
1,1,1,6,0,8,8,1.0
1,1,1,6,1,10,10,1.0
1,1,1,6,2,1,2,0.5
1,1,1,6,3,4,5,0.8
1,1,1,6,5,1,1,1.0
1,1,1,7,0,4,4,1.0
1,1,1,7,1,3,3,1.0
1,1,1,7,2,1,1,1.0
1,1,1,7,3,2,2,1.0
1,1,1,8,0,1,1,1.0
1,1,1,8,5,1,1,1.0
1,1,2,-10,3,1,1,1.0
1,1,2,-10,6,0,1,0.0
1,1,2,-9,1,0,1,0.0
1,1,2,-8,1,0,2,0.0
1,1,2,-7,0,0,3,0.0
1,1,2,-7,1,0,1,0.0
1,1,2,-6,0,1,13,0.07692307692307693
