mlbam_id,lahman_id
122329,slocuhe01
111899,calvoja01
112111,castica02
110552,barbetu01
113423,dolanco02
123615,valenbo01
123568,unroeti01
607732,stallja01
680814,burdipe01
115728,helli01
475115,rossty01
123043,sweenbi01
112523,colluja01
117038,kiefejo01
123028,swartbu01
656271,burkebr01
641386,bowdebe01
663457,nootbla01
572831,edginjo01
121829,schmida02
680723,romdr01
817217,smith16
518934,lemahdj01
117200,knollpu01
120681,porteja01
122610,spragho01
818756,johnsja04
622682,reyesvi01
124500,wojcist01
452737,schwich01
276514,greggke01
123962,washicl01
458657,mendead01
489149,morrilo01
113062,dascedo01
120013,o'neask01
656388,dunanjo01
123345,tillmru01
695445,leech02
119565,murphmi01
116554,johnsto01
118115,maddecl01
818700,jones16
118104,macphha01
111050,blackti01
117405,lafited01
118917,meinewa01
112926,culloni02
817134,spearch01
110174,allismi01
114436,friedbo01
124060,welchtu01
121004,reedeic01
275928,matoslu01
113244,delosra01
120147,oyleran01
467798,tabatjo01
642545,barrija01
113982,faircra01
124533,woodja01
118255,mansklo01
118095,mackego01
118347,martimo01
122142,sherrfr01
818740,johnsme01
819553,fiallto01
121104,reynoch02
819826,dayco01
430640,penato02
113389,dishmgl01
114956,goodwcl01
123797,waittch01
118674,mcfared01
656577,jacksal02
818460,lockmja01
110485,bakerph01
117646,leighjo01
118724,mcgratu01
119478,muellra01
488846,duensbr01
123655,vanzadi01
122287,sizemte01
121669,sandejo01
123691,velasgu01
122960,sullimi01
124571,woodwwo01
452121,lillibr01
117123,kirrejo01
120093,osinsda01
124395,wilsosq01
115034,grahabi01
446334,longoev01
666619,santogr01
111022,bishobi02
150441,nichode01
523648,hambuma01
150206,mullesc01
117716,leutz01
120701,pottedy01
116696,jonesja03
819539,finch02
115444,hanskdo01
119527,munozpe01
132640,steenke01
112938,cummist01
112261,chrisne01
112843,croftha01
650496,mejiaje02
117567,laxtobi01
114989,gossari01
118242,mannier01
425346,riverca01
671655,valerge01
694671,langfwy01
121113,reynoro02
407576,rivermi02
117301,kravida01
123844,walkewe01
110788,beechma01
593871,polanjo01
119400,morrijo06
