mgr_id,name,seasons,first_year,last_year,games,wins,pyth_expected,one_run_games,one_run_wins,extra_inn_games,extra_inn_wins,bullpen_aggr,mgr_value_total,mgr_value_combined,mgr_value_per_season,close_residual_total,one_run_winpct,winpct
frant001,Terry Francona,12,2010,2025,1924,1060,1064.8462940599022,513,271,166,86,4.1488147866881135,3.432831868976649,3.4529823082836533,0.2860693224147208,17.5,0.5282651072124757,0.5509355509355509
gardr001,Ron Gardenhire,7,2010,2019,1127,467,470.186622388009,348,164,92,49,4.128816756854961,-11.249672978464538,-8.294771084925177,-1.6070961397806482,-7.0,0.47126436781609193,0.4143744454303461
gibbj001,John Gibbons,6,2013,2018,962,483,489.2012650336552,263,119,89,39,4.146793311919293,-2.4229587878513854,-2.7760711514959704,-0.4038264646418976,-18.0,0.4524714828897338,0.502079002079002
gibsk001,Kirk Gibson,4,2011,2014,643,319,319.15879804490663,191,100,60,39,3.9956203077955883,1.788561390353678,2.061992973247574,0.4471403475884195,13.5,0.5235602094240838,0.49611197511664074
giraj001,Joe Girardi,9,2010,2021,1456,799,793.8367733241066,409,215,109,52,3.9239875946800264,3.8218012570395814,3.1552608799277073,0.42464458411550904,8.0,0.5256723716381418,0.5487637362637363
gonzf801,Fredi Gonzalez,5,2011,2015,808,425,414.55278034986276,239,134,84,44,4.009537037037037,0.8837570351241197,1.608629924586884,0.17675140702482395,16.5,0.5606694560669456,0.525990099009901
greea001,Andy Green,4,2016,2019,640,274,264.2691044026045,178,86,50,19,4.236792528459195,12.979733306822375,8.545813314775662,3.2449333267055938,-9.0,0.48314606741573035,0.428125
guilo001,Ozzie Guillen,3,2010,2012,477,233,226.89604722414776,145,75,49,23,3.664358715815801,5.023917208568591,3.5767420459980133,1.6746390695228637,1.0,0.5172413793103449,0.48846960167714887
hinca001,A.J. Hinch,10,2015,2025,1619,875,875.9539277936694,443,234,144,76,4.214557932673875,1.3858010385754085,1.9600607270027854,0.13858010385754085,16.5,0.5282167042889391,0.5404570722668314
hurdc001,Clint Hurdle,9,2011,2019,1452,733,713.4766141595728,445,233,133,69,4.093540840675521,4.435301857959573,3.8847113005717007,0.4928113175510636,13.0,0.5235955056179775,0.5048209366391184
hydeb801,Brandon Hyde,5,2019,2024,810,381,376.9039939574618,195,91,61,30,4.393827160493827,-0.26312231344171266,-0.6041856194091986,-0.05262446268834253,-7.0,0.4666666666666667,0.4703703703703704
kaplg001,Gabe Kapler,5,2018,2023,807,427,415.9829048181907,221,120,75,42,4.497810389005357,9.693758342133393,7.625630839493375,1.9387516684266786,14.0,0.5429864253393665,0.5291201982651796
kotsm001,Mark Kotsay,4,2022,2025,647,255,249.42992394364617,184,85,53,26,4.247335327045472,-1.9785227695777223,-1.8349659387044057,-0.4946306923944306,-7.5,0.46195652173913043,0.3941267387944359
larut101,Tony LaRussa,4,2010,2022,605,328,331.78736292280115,165,84,57,24,4.061843135062611,-4.252069582118153,-3.1564487074827072,-1.0630173955295383,-3.0,0.509090909090909,0.5421487603305785
leylj801,Jim Leyland,4,2010,2013,647,357,355.7871535479316,182,86,52,23,3.5996376811594204,5.4921517909279345,3.3645062536495542,1.3730379477319836,-8.0,0.4725274725274725,0.5517774343122102
lovut001,Tony Lovullo,8,2017,2025,1293,637,655.8453264507712,376,168,113,51,4.350586611456177,-14.587050792878927,-11.740935555015248,-1.8233813491098658,-25.5,0.44680851063829785,0.49265274555297756
maddj801,Joe Maddon,10,2010,2019,1622,918,925.0185978959462,483,254,148,85,4.169347875482845,0.4814547647574301,1.7470183353301998,0.04814547647574301,23.5,0.525879917184265,0.5659679408138101
manuc101,Charlie Manuel,4,2010,2013,604,332,327.45638693660095,180,96,64,33,3.670278832144774,3.959437536303234,3.191606275412264,0.9898593840758085,7.0,0.5333333333333333,0.5496688741721855
marmo801,Oliver Marmol,4,2022,2025,646,324,315.07549696712294,184,98,53,26,3.998032407407407,14.612118427469326,10.558482899228528,3.6530296068673316,5.5,0.532608695652174,0.5015479876160991
martd002,Dave Martinez,6,2018,2024,967,436,447.7501569731447,251,116,69,24,4.44019333799208,-2.550401781341783,-2.9852812469392487,-0.4250669635569639,-20.0,0.46215139442231074,0.45087900723888313
mathm001,Mike Matheny,8,2012,2022,1296,683,682.157859555698,369,190,99,45,4.188271604938271,-0.9939650215869946,-0.6357755151108961,-0.12424562769837433,1.0,0.5149051490514905,0.5270061728395061
mattd001,Don Mattingly,11,2011,2022,1763,852,850.7646154244795,522,244,160,81,4.277436703125109,-4.7556780656233,-4.28897464593631,-0.4323343696021182,-16.0,0.4674329501915709,0.4832671582529779
melvb001,Bob Melvin,13,2012,2025,2084,1089,1113.054318544502,613,309,195,102,4.115540676132721,-15.179719154770027,-10.205803408339019,-1.167670704213079,7.0,0.5040783034257749,0.522552783109405
millb101,Brad Mills,3,2010,2012,444,170,172.85302361675383,123,54,43,13,4.157611943514447,-5.105200378381021,-4.5336402648667145,-1.7017334594603402,-16.0,0.43902439024390244,0.38288288288288286
molip001,Paul Molitor,4,2015,2018,647,305,307.0181082118821,154,66,49,20,4.303245533317997,-5.444404714233912,-4.741083299963738,-1.361101178558478,-15.5,0.42857142857142855,0.4714064914992272
pricb801,Bryan Price,4,2014,2017,647,276,285.97600634089133,190,75,53,15,3.9891783605551723,0.10574271091796561,-1.8159801023574236,0.026435677729491402,-31.5,0.39473684210526316,0.4265842349304482
quatm801,Matt Quatraro,3,2023,2025,484,224,236.70839772202584,123,62,27,13,4.2432355967078195,-4.790003394862133,-3.3530023764034924,-1.5966677982873776,0.0,0.5040650406504065,0.4628099173553719
rentr001,Rich Renteria,4,2014,2019,643,272,269.6769834567499,156,69,46,22,4.3210659128609965,-0.6707088385414792,-1.0694961869790354,-0.1676772096353698,-10.0,0.4423076923076923,0.4230171073094868
robed001,Dave Roberts,9,2016,2025,1456,898,913.4953858285689,376,198,127,63,4.523674377704588,-4.225529792859504,-2.387870855001653,-0.4695033103177227,9.5,0.526595744680851,0.6167582417582418
