team,year,total_war,bat_war,pit_war,actual_w
ATL,1969,44.1,26.64,17.46,93
KCA,1969,17.57,6.17,11.4,69
NYN,1969,34.92999999999999,15.719999999999999,19.209999999999997,100
WS2,1969,31.36,23.61,7.750000000000002,86
PHI,1969,35.06,22.23,12.830000000000002,63
PIT,1969,54.15,34.08,20.07,88
MIN,1969,61.36999999999999,41.76,19.609999999999996,97
CAL,1969,16.89,3.3299999999999983,13.56,71
HOU,1969,53.33,30.36,22.970000000000002,81
CLE,1969,14.600000000000001,6.659999999999999,7.940000000000001,62
BOS,1969,34.76,28.849999999999998,5.91,87
CHA,1969,22.38,15.829999999999997,6.550000000000002,68
SDN,1969,12.45,2.1100000000000003,10.34,52
NYA,1969,24.259999999999998,11.599999999999998,12.66,80
MON,1969,9.969999999999999,5.6899999999999995,4.28,52
OAK,1969,29.279999999999994,21.049999999999994,8.23,88
CHN,1969,58.010000000000005,35.53,22.480000000000004,92
SFN,1969,47.41,27.57,19.84,90
CIN,1969,33.43,29.16,4.269999999999999,89
BAL,1969,59.69,42.1,17.59,109
SE1,1969,4.059999999999999,-0.890000000000001,4.95,64
SLN,1969,45.11,21.389999999999993,23.720000000000002,87
DET,1969,43.97,30.9,13.069999999999997,90
LAN,1969,56.980000000000004,31.47,25.51,85
ATL,1970,27.9,20.939999999999998,6.96,76
NYN,1970,40.01,24.13,15.879999999999999,83
KCA,1970,15.380000000000003,7.87,7.510000000000002,65
WS2,1970,19.63,13.719999999999999,5.909999999999999,70
SLN,1970,42.459999999999994,26.709999999999997,15.749999999999998,76
ML4,1970,14.09,6.26,7.83,65
PIT,1970,49.03,30.72,18.31,89
MIN,1970,47.03,29.320000000000004,17.71,98
CAL,1970,24.15,14.95,9.2,86
OAK,1970,27.89,17.76,10.129999999999999,89
HOU,1970,36.64,24.56,12.080000000000002,79
BOS,1970,34.73,26.56,8.17,87
CHA,1970,16.04,12.59,3.45,56
SDN,1970,22.270000000000003,16.700000000000003,5.57,63
NYA,1970,33.08,18.75,14.330000000000002,93
MON,1970,12.330000000000002,12.000000000000002,0.32999999999999985,73
CHN,1970,58.98000000000001,40.970000000000006,18.010000000000005,84
PHI,1970,23.0,5.58,17.419999999999998,73
BAL,1970,60.76,43.85,16.909999999999997,108
CIN,1970,50.27000000000001,37.650000000000006,12.620000000000001,102
SFN,1970,43.87,36.19,7.68,86
CLE,1970,23.67,20.150000000000002,3.52,76
DET,1970,24.889999999999993,15.919999999999996,8.969999999999999,79
LAN,1970,32.21,21.130000000000003,11.08,87
ATL,1971,30.020000000000003,19.42,10.6,82
NYN,1971,41.69,18.76,22.93,83
WS2,1971,8.61,1.1,7.51,63
LAN,1971,47.709999999999994,26.799999999999997,20.909999999999997,89
PIT,1971,50.15,31.47,18.68,97
CAL,1971,16.33,0.9800000000000004,15.35,76
NYA,1971,36.61,22.810000000000002,13.799999999999999,82
HOU,1971,40.81999999999999,18.679999999999996,22.14,79
SLN,1971,49.31,32.26,17.05,90
CHA,1971,50.370000000000005,29.23,21.14,79
MIN,1971,30.059999999999995,17.939999999999998,12.12,74
PHI,1971,17.099999999999998,2.8600000000000003,14.239999999999998,67
BOS,1971,33.51,21.69,11.819999999999997,85
SDN,1971,23.21,7.83,15.380000000000003,61
ML4,1971,8.45,0.22999999999999998,8.219999999999999,69
MON,1971,15.7,10.35,5.3500000000000005,71
CLE,1971,-6.84,-4.910000000000001,-1.9299999999999988,60
OAK,1971,45.400000000000006,26.21,19.19,101
CHN,1971,38.599999999999994,20.91,17.689999999999998,83
BAL,1971,50.98,36.379999999999995,14.600000000000001,101
CIN,1971,31.66,17.93,13.73,79
SFN,1971,41.1,27.200000000000003,13.899999999999999,90
DET,1971,44.22,31.89,12.329999999999998,91
KCA,1971,29.4,13.309999999999999,16.09,85
ATL,1972,25.689999999999998,19.38,6.309999999999999,70
NYN,1972,27.25,7.759999999999998,19.490000000000002,83
NYA,1972,34.959999999999994,17.93,17.029999999999998,79
CHA,1972,38.89,15.01,23.880000000000003,87
PIT,1972,55.529999999999994,32.949999999999996,22.58,96
CAL,1972,23.02,7.699999999999999,15.32,75
HOU,1972,49.42,31.51,17.91,84
OAK,1972,43.55,20.099999999999998,23.45,93
SLN,1972,34.03,15.120000000000001,18.91,75
PHI,1972,15.389999999999997,2.86,12.529999999999998,59
BOS,1972,37.400000000000006,21.060000000000002,16.34,85
SDN,1972,11.0,-0.8900000000000002,11.89,58
SFN,1972,24.509999999999998,13.86,10.649999999999999,69
ML4,1972,12.65,0.09000000000000002,12.56,65
MON,1972,22.11,7.830000000000001,14.279999999999998,70
BAL,1972,43.42,21.04,22.38,80
CHN,1972,45.730000000000004,28.72,17.01,85
CLE,1972,15.28,4.6,10.68,72
CIN,1972,42.51,25.97,16.54,95
TEX,1972,3.4899999999999984,-7.8100000000000005,11.299999999999999,54
MIN,1972,29.770000000000003,12.330000000000002,17.44,77
DET,1972,36.599999999999994,16.519999999999996,20.08,86
LAN,1972,46.019999999999996,23.6,22.419999999999998,85
KCA,1972,40.86,20.38,20.48,76
ATL,1973,38.74000000000001,32.63000000000001,6.109999999999999,76
MIN,1973,24.68,9.41,15.27,81
SLN,1973,48.089999999999996,26.36,21.729999999999997,81
MON,1973,18.72,11.219999999999997,7.5,79
CHA,1973,19.09,3.8200000000000007,15.27,77
PIT,1973,41.57,29.32,12.25,80
CAL,1973,12.33,-5.369999999999999,17.7,79
OAK,1973,27.770000000000003,13.610000000000001,14.16,94
SDN,1973,10.32,2.6100000000000003,7.71,60
PHI,1973,22.84,13.33,9.51,71
BOS,1973,24.86,15.57,9.290000000000001,89
SFN,1973,44.23,32.93,11.299999999999999,88
BAL,1973,36.61,21.090000000000003,15.52,97
NYN,1973,36.089999999999996,15.739999999999997,20.35,82
CHN,1973,38.370000000000005,20.07,18.3,77
