mgr_id,year,team,mgr_name,games,wins,runs_for,runs_against,one_run_games,one_run_wins,extra_inn_games,extra_inn_wins,blowout_games,blowout_wins,total_pitchers_used,avg_opp_pitchers,sb,cs,winpct,pyth_winpct,pyth_expected_W,pyth_residual,one_run_winpct,extra_inn_winpct,blowout_winpct,close_games,close_wins,close_winpct,close_residual,bullpen_aggr,sb_attempts,sb_success,sb_per_game,bat_war,pit_war,top5_war,total_war,years_experience,career_games,predicted_pyth_resid,mgr_value,mgr_value_combined
counc001,2016,MIL,Craig Counsell,162,73,671,733,51,23,13,4,31,13,675,4.160493827160494,1543,181,0.4506172839506173,0.4596556215660412,74.46421069369867,-1.464210693698675,0.45098039215686275,0.3076923076923077,0.41935483870967744,64,27,0.421875,-5.0,4.166666666666667,1724,0.8950116009280742,10.641975308641975,14.71,11.759999999999998,18.439999999999998,26.47,1,137,-1.4933466,0.029135878223627287,-0.2796048852434609
counc001,2017,MIL,Craig Counsell,162,86,732,697,47,25,16,5,26,13,712,4.222222222222222,1571,128,0.5308641975308642,0.52240025523011,84.62884134727783,1.3711586527221726,0.5319148936170213,0.3125,0.5,63,30,0.47619047619047616,-1.5,4.395061728395062,1699,0.9246615656268393,10.487654320987655,34.45,18.94,20.8,53.39,2,299,1.427702,-0.056543297351069555,-0.12958030814574867
counc001,2018,MIL,Craig Counsell,163,96,754,659,52,33,16,9,31,19,722,4.423312883435583,1458,124,0.588957055214724,0.5613010469085081,91.49207064608683,4.50792935391317,0.6346153846153846,0.5625,0.6129032258064516,68,42,0.6176470588235294,8.0,4.429447852760736,1582,0.9216182048040455,9.705521472392638,30.68,26.250000000000004,26.19,56.93000000000001,3,461,3.2514124,1.256516962250572,1.3595618735754003
counc001,2019,MIL,Craig Counsell,162,89,769,766,45,27,15,7,25,12,750,4.58641975308642,1563,101,0.5493827160493827,0.5017882682675074,81.2896994593362,7.710300540663795,0.6,0.4666666666666667,0.48,60,34,0.5666666666666667,4.0,4.62962962962963,1664,0.9393028846153846,10.271604938271604,26.85,14.350000000000001,24.92,41.2,4,624,3.9114287,3.7988718507071297,2.8992102954949903
counc001,2021,MIL,Craig Counsell,161,94,733,621,36,21,18,10,31,19,690,4.627329192546584,1453,82,0.5838509316770186,0.5752834216335233,92.62063088299725,1.3793691170027529,0.5833333333333334,0.5555555555555556,0.6129032258064516,54,31,0.5740740740740741,4.0,4.285714285714286,1535,0.9465798045602606,9.53416149068323,32.76,31.93,26.88,64.69,5,786,1.2759452,0.10342393038776265,0.31239675127143385
counc001,2022,MIL,Craig Counsell,162,86,725,688,51,28,18,9,23,12,710,4.469135802469136,1464,96,0.5308641975308642,0.523946803793486,84.87938221454473,1.1206177854552664,0.5490196078431373,0.5,0.5217391304347826,69,37,0.5362318840579711,2.5,4.382716049382716,1560,0.9384615384615385,9.62962962962963,13.28,25.71,19.3,38.99,6,947,0.025604822,1.0950129637136854,0.9165090745995798
counc001,2023,MIL,Craig Counsell,161,92,722,639,47,29,15,10,27,16,674,4.260869565217392,1404,128,0.5714285714285714,0.5556388382777818,89.45785296272287,2.5421470372771324,0.6170212765957447,0.6666666666666666,0.5925925925925926,62,39,0.6290322580645161,8.0,4.186335403726708,1532,0.9164490861618799,9.51552795031056,4.879999999999999,20.689999999999998,18.62,25.569999999999997,7,1109,-1.2675375,3.8096845119093956,3.1467791583365767
counc001,2024,CHN,Craig Counsell,162,83,736,669,51,23,12,7,31,18,658,4.339506172839506,1362,143,0.5123456790123457,0.543555893342832,88.05605472153879,-5.056054721538786,0.45098039215686275,0.5833333333333334,0.5806451612903226,63,30,0.47619047619047616,-1.5,4.061728395061729,1505,0.9049833887043189,9.290123456790123,17.27,18.999999999999996,18.74,36.269999999999996,8,1270,-5.306608,0.25055347853445653,0.08538743497411957
counc001,2025,CHN,Craig Counsell,162,92,793,649,44,25,11,6,38,25,685,4.438271604938271,1277,161,0.5679012345679012,0.5906648778752249,95.68771021578644,-3.6877102157864385,0.5681818181818182,0.5454545454545454,0.6578947368421053,55,31,0.5636363636363636,3.5,4.228395061728395,1438,0.8880389429763561,8.876543209876543,27.43,21.509999999999998,23.099999999999998,48.94,9,1432,-5.1799603,1.4922500350680536,1.2545750245476375
cox-b103,2010,ATL,Bobby Cox,161,90,734,628,45,23,15,8,33,19,649,4.093167701863354,1135,63,0.5590062111801242,0.5708752444868747,91.91091436238682,-1.9109143623868192,0.5111111111111111,0.5333333333333333,0.5757575757575758,60,31,0.5166666666666667,1.0,4.031055900621118,1198,0.9474123539232053,7.440993788819876,38.54,27.74,23.439999999999998,66.28,0,0,-1.9157162,0.004801808877829217,0.06336126621448045
espaj801,2024,HOU,Joey Espada,161,88,740,649,45,18,16,6,34,21,672,4.192546583850931,1176,93,0.546583850931677,0.5597451850174993,90.11897478781738,-2.118974787817379,0.4,0.375,0.6176470588235294,61,24,0.39344262295081966,-6.5,4.173913043478261,1269,0.9267139479905437,7.881987577639752,17.200000000000003,24.56,22.690000000000005,41.760000000000005,0,0,2.1224825,-4.241457326040646,-3.359020128228452
espaj801,2025,HOU,Joey Espada,132,72,561,547,37,23,13,8,26,16,549,3.9393939393939394,1045,65,0.5454545454545454,0.5115599268076471,67.5259103386094,4.474089661390593,0.6216216216216216,0.6153846153846154,0.6153846153846154,50,31,0.62,6.0,4.159090909090909,1110,0.9414414414414415,8.409090909090908,10.869999999999997,19.119999999999997,20.64,29.989999999999995,1,161,0.27383053,4.200259128362944,3.300181389854061
farrj001,2011,TOR,John Farrell,152,78,695,704,54,29,16,13,24,13,598,3.7171052631578947,1090,122,0.5131578947368421,0.49411384334183955,75.10530418795962,2.894695812040382,0.5370370370370371,0.8125,0.5416666666666666,70,42,0.6,7.0,3.9342105263157894,1212,0.8993399339933993,7.973684210526316,15.800000000000002,10.69,21.970000000000002,26.490000000000002,0,0,-3.1347005,6.029396348768287,4.640577444137801
farrj001,2012,TOR,John Farrell,162,73,716,784,40,15,13,7,31,13,657,3.9691358024691357,1251,123,0.4506172839506173,0.4585866434954197,74.29103624625799,-1.2910362462579883,0.375,0.5384615384615384,0.41935483870967744,53,22,0.41509433962264153,-4.5,4.055555555555555,1374,0.9104803493449781,8.481481481481481,8.07,10.95,15.11,19.02,1,152,-3.0515149,1.7604786177099072,0.9623350323969349
farrj001,2013,BOS,John Farrell,162,97,853,656,42,21,16,10,31,22,612,4.098765432098766,1308,123,0.5987654320987654,0.6178790932877164,100.09641311261005,-3.096413112610051,0.5,0.625,0.7096774193548387,58,31,0.5344827586206896,2.0,3.7777777777777777,1431,0.9140461215932913,8.833333333333334,26.380000000000003,25.060000000000002,24.580000000000002,51.440000000000005,2,314,-3.8043773,0.7079642048185377,0.6155749433729764
farrj001,2014,BOS,John Farrell,162,71,634,715,56,28,21,10,25,10,655,4.271604938271605,1337,63,0.4382716049382716,0.44521398069604606,72.12466487275947,-1.1246648727594675,0.5,0.47619047619047616,0.4,77,38,0.4935064935064935,-0.5,4.04320987654321,1400,0.955,8.641975308641975,5.699999999999999,13.12,13.19,18.82,3,476,-2.9809082,1.8562432826818167,1.2693702978772716
farrj001,2015,BOS,John Farrell,113,50,478,552,30,15,7,4,19,6,433,4.017699115044247,760,48,0.4424778761061947,0.434526798924094,49.10152827842263,0.8984717215773728,0.5,0.5714285714285714,0.3157894736842105,37,19,0.5135135135135135,0.5,3.831858407079646,808,0.9405940594059405,7.150442477876106,12.280000000000003,19.72,22.43,32.0,4,638,3.3406622,-2.442190519404683,-1.6795333635832779
farrj001,2016,BOS,John Farrell,162,93,878,694,44,20,11,7,27,21,625,4.2407407407407405,1160,83,0.5740740740740741,0.6059619169407504,98.16583054440157,-5.165830544401572,0.45454545454545453,0.6363636363636364,0.7777777777777778,55,27,0.4909090909090909,-0.5,3.8580246913580245,1243,0.9332260659694288,7.672839506172839,30.87,25.630000000000003,31.2,56.5,5,751,-4.688266,-0.4775647439254982,-0.36429532074784876
farrj001,2017,BOS,John Farrell,160,91,769,665,41,22,18,15,30,18,671,4.4125,1210,100,0.56875,0.5660876058114004,90.57401692982407,0.4259830701759313,0.5365853658536586,0.8333333333333334,0.6,59,37,0.6271186440677966,7.5,4.19375,1310,0.9236641221374046,8.1875,12.969999999999999,27.11,23.0,40.08,6,913,-0.45525673,0.8812398004940007,1.0668678603458004
frant001,2010,BOS,Terry Francona,162,89,818,744,48,22,18,6,27,15,605,4.080246913580247,1140,68,0.5493827160493827,0.5432722219794123,88.01009996066479,0.9899000393352111,0.4583333333333333,0.3333333333333333,0.5555555555555556,66,28,0.42424242424242425,-5.0,3.734567901234568,1208,0.9437086092715232,7.45679012345679,23.179999999999996,20.82,24.99,44.0,0,0,1.5023465,-0.5124464763203065,-0.6587125334242145
frant001,2011,BOS,Terry Francona,162,90,875,737,38,19,11,6,38,26,606,4.12962962962963,1108,102,0.5555555555555556,0.5778842123733968,93.61724240449028,-3.617242404490284,0.5,0.5454545454545454,0.6842105263157895,49,25,0.5102040816326531,0.5,3.740740740740741,1210,0.915702479338843,7.469135802469136,36.87,19.06,34.760000000000005,55.92999999999999,1,162,-1.8551238,-1.762118646174244,-1.2034830523219706
frant001,2013,CLE,Terry Francona,162,92,745,662,47,30,12,10,35,22,702,3.8518518518518516,1283,117,0.5679012345679012,0.5538298559722883,89.7204366675107,2.279563332489303,0.6382978723404256,0.8333333333333334,0.6285714285714286,59,40,0.6779661016949152,10.5,4.333333333333333,1400,0.9164285714285715,8.641975308641975,21.709999999999997,25.53,25.78,47.239999999999995,2,324,2.626191,-0.3466275683133091,0.38736070218068364
frant001,2014,CLE,Terry Francona,162,85,669,653,46,25,21,13,29,15,736,4.080246913580247,1189,104,0.5246913580246914,0.5110728601667702,82.79380334701678,2.2061966529832233,0.5434782608695652,0.6190476190476191,0.5172413793103449,67,38,0.5671641791044776,4.5,4.54320987654321,1293,0.9195668986852281,7.981481481481482,3.6299999999999994,36.029999999999994,30.31,39.66,3,486,0.35836077,1.8478358856187214,1.5634851199331048
frant001,2015,CLE,Terry Francona,161,81,669,640,33,15,9,5,35,19,637,4.049689440993789,1157,86,0.5031055900621118,0.5202634121802607,83.76240936102198,-2.76240936102198,0.45454545454545453,0.5555555555555556,0.5428571428571428,42,20,0.47619047619047616,-1.0,3.9565217391304346,1243,0.9308125502815768,7.720496894409938,10.129999999999997,30.070000000000004,26.93,40.2,4,648,2.239917,-5.002326400893196,-3.561628480625237
