playerID,mgr_name,yearID,teamID,G,W,L,total_war,expected_w,win_delta,mgr_value
bakerde01,Del Baker,1939,DET,155,81,73,41.81999999999999,88.82,-7.819999999999993,-1.1795018386840752
bakerde01,Del Baker,1940,DET,155,90,64,51.06,98.06,-8.060000000000002,2.2479643249511696
bakerde01,Del Baker,1941,DET,155,75,79,28.699999999999996,75.69999999999999,-0.6999999999999886,-1.5211959600448495
bakerde01,Del Baker,1942,DET,156,73,81,28.440000000000005,75.44,-2.4399999999999977,10.187587318420412
bakerdu01,Dusty Baker,1993,SFN,162,103,59,53.67,100.67,2.3299999999999983,10.811109619140623
bakerdu01,Dusty Baker,1994,SFN,115,55,60,23.9,70.9,-15.900000000000006,-15.807582044601446
bakerdu01,Dusty Baker,1995,SFN,144,67,77,17.21,64.21000000000001,2.789999999999992,0.2462778472900311
bakerdu01,Dusty Baker,1996,SFN,162,68,94,15.440000000000001,62.44,5.560000000000002,0.8768129920959495
bakerdu01,Dusty Baker,1997,SFN,162,90,72,51.5,98.5,-8.5,1.5740671157836914
bakerdu01,Dusty Baker,1998,SFN,163,89,74,46.52,93.52000000000001,-4.52000000000001,-1.7193734836578471
bakerdu01,Dusty Baker,1999,SFN,162,86,76,34.6,81.6,4.400000000000006,3.2557856082916317
bakerdu01,Dusty Baker,2000,SFN,162,97,65,53.05,100.05,-3.049999999999997,5.720047187805179
bakerdu01,Dusty Baker,2001,SFN,162,90,72,63.36,110.36,-20.36,-7.4439586257934565
bakerdu01,Dusty Baker,2002,SFN,162,95,66,63.61,110.61,-15.61,-0.6581243133544916
bakerdu01,Dusty Baker,2003,CHN,162,88,74,59.620000000000005,106.62,-18.620000000000005,-1.8026877593994186
bakerdu01,Dusty Baker,2004,CHN,162,89,73,57.71000000000001,104.71000000000001,-15.710000000000008,-1.3387307739257892
bakerdu01,Dusty Baker,2005,CHN,162,79,83,49.230000000000004,96.23,-17.230000000000004,-12.06287906646729
bakerdu01,Dusty Baker,2006,CHN,162,66,96,16.92,63.92,2.0799999999999983,-4.335144920349123
bakerdu01,Dusty Baker,2008,CIN,160,72,88,23.0,70.0,2.0,3.4001588821411133
bakerdu01,Dusty Baker,2009,CIN,162,78,84,20.250000000000004,67.25,10.75,8.846906661987305
bakerdu01,Dusty Baker,2010,CIN,160,89,71,53.74,100.74000000000001,-11.740000000000009,-4.844898929595956
bakerdu01,Dusty Baker,2011,CIN,162,79,83,32.06,79.06,-0.060000000000002274,-6.1692934608459495
bakerdu01,Dusty Baker,2012,CIN,151,90,61,64.33000000000001,111.33000000000001,-21.330000000000013,1.1033171844482297
bakerdu01,Dusty Baker,2013,CIN,162,90,72,58.88,105.88,-15.879999999999995,-2.495164756774898
bakerdu01,Dusty Baker,2016,WAS,161,94,67,68.5,115.5,-21.5,0.8081836700439453
bakerdu01,Dusty Baker,2017,WAS,160,95,65,60.629999999999995,107.63,-12.629999999999995,2.630749816894536
bakerdu01,Dusty Baker,2021,HOU,162,95,67,53.09,100.09,-5.090000000000003,3.9785958862304653
bakerdu01,Dusty Baker,2022,HOU,162,106,56,59.07000000000001,106.07000000000001,-0.07000000000000739,15.395756416320793
bakerdu01,Dusty Baker,2023,HOU,162,90,72,43.81,90.81,-0.8100000000000023,-0.043932495117189774
baldero01,Rocco Baldelli,2019,MIN,162,101,61,55.13,102.13,-1.1299999999999955,4.837350482940678
baldero01,Rocco Baldelli,2021,MIN,157,69,88,15.290000000000001,62.29,6.710000000000001,-2.460018196105956
baldero01,Rocco Baldelli,2022,MIN,162,78,84,31.070000000000004,78.07000000000001,-0.07000000000000739,-2.234976835250862
baldero01,Rocco Baldelli,2023,MIN,162,87,75,38.99,85.99000000000001,1.009999999999991,0.913090864419928
baldero01,Rocco Baldelli,2024,MIN,162,82,80,37.07,84.07,-2.069999999999993,1.5196100997924873
baldero01,Rocco Baldelli,2025,MIN,162,70,92,11.260000000000002,58.260000000000005,11.739999999999995,-0.1534297561645559
bambege01,George Bamberger,1978,ML4,162,93,69,41.06999999999999,88.07,4.930000000000007,9.040407829284675
