age,avg_war,n,position
25.0,1.5533222591362126,301,SS
26.0,1.6432911392405063,316,SS
27.0,1.6013855421686747,332,SS
28.0,1.5546843853820598,301,SS
29.0,1.6563028169014085,284,SS
30.0,1.727510729613734,233,SS
31.0,1.5080676328502416,207,SS
32.0,1.666168831168831,154,SS
33.0,1.475968992248062,129,SS
34.0,1.3525806451612903,93,SS
35.0,1.3107352941176469,68,SS
36.0,1.190943396226415,53,SS
37.0,0.8519354838709677,31,SS
38.0,1.305263157894737,19,SS
39.0,1.841,10,SS
40.0,1.27125,8,SS
41.0,-1.42,1,SS
42.0,2.0,3,SS
19.0,2.84,1,LF
20.0,0.7988888888888889,9,LF
21.0,0.9744444444444444,27,LF
22.0,1.818867924528302,53,LF
23.0,1.6864220183486238,109,LF
24.0,1.2295321637426901,171,LF
25.0,1.4031535269709545,241,LF
26.0,1.5430721003134797,319,LF
27.0,1.532849162011173,358,LF
28.0,1.836891891891892,296,LF
29.0,1.68671875,320,LF
30.0,1.6280592105263159,304,LF
31.0,1.9555052264808364,287,LF
32.0,1.6798194945848375,277,LF
33.0,1.496150234741784,213,LF
34.0,1.4280748663101606,187,LF
35.0,1.3518110236220473,127,LF
36.0,1.6707894736842106,76,LF
37.0,1.535344827586207,58,LF
38.0,1.5888571428571427,35,LF
39.0,2.351578947368421,19,LF
40.0,1.8316666666666666,18,LF
41.0,0.8784615384615386,13,LF
42.0,2.8600000000000003,5,LF
19.0,0.5549999999999999,2,CF
20.0,2.117142857142857,7,CF
21.0,2.5303571428571425,28,CF
22.0,2.4254285714285713,70,CF
23.0,2.2794736842105263,152,CF
24.0,2.14196,250,CF
25.0,2.2295638629283485,321,CF
26.0,2.3409401709401707,351,CF
27.0,2.7523032069970843,343,CF
28.0,2.55983286908078,359,CF
29.0,2.493973063973064,297,CF
30.0,2.6302281368821294,263,CF
31.0,2.5995067264573994,223,CF
32.0,2.541333333333333,180,CF
33.0,2.681785714285714,140,CF
34.0,2.494,105,CF
35.0,2.4385333333333334,75,CF
36.0,2.534081632653061,49,CF
37.0,2.515,26,CF
38.0,2.0396,25,CF
39.0,3.3025,12,CF
40.0,1.7936363636363637,11,CF
41.0,1.3375,4,CF
42.0,-0.26,1,CF
19.0,0.7750000000000001,2,RF
20.0,2.3716666666666666,6,RF
21.0,1.9841379310344827,29,RF
22.0,1.0125757575757575,66,RF
23.0,1.543046875,128,RF
24.0,1.3866310160427808,187,RF
25.0,1.5095940959409595,271,RF
26.0,1.7751194539249147,293,RF
27.0,1.8333126934984518,323,RF
28.0,1.883304347826087,345,RF
29.0,1.7291082802547773,314,RF
30.0,1.924891304347826,276,RF
31.0,1.916491935483871,248,RF
32.0,1.7676960784313727,204,RF
33.0,1.9727419354838711,186,RF
34.0,1.820065789473684,152,RF
35.0,2.1464406779661016,118,RF
36.0,1.911951219512195,82,RF
37.0,1.7732142857142856,56,RF
38.0,1.430294117647059,34,RF
39.0,1.2568181818181818,22,RF
40.0,1.2971428571428572,14,RF
41.0,0.525,8,RF
42.0,0.35333333333333333,3,RF
20.0,-1.42,1,DH
21.0,0.13999999999999999,3,DH
22.0,0.8640000000000001,5,DH
23.0,1.4799999999999998,3,DH
24.0,0.6940000000000001,15,DH
25.0,0.9522222222222223,27,DH
26.0,0.4641025641025641,39,DH
27.0,0.49523809523809526,42,DH
28.0,0.4779166666666667,48,DH
29.0,0.5361666666666667,60,DH
30.0,1.3676271186440678,59,DH
31.0,0.8240579710144927,69,DH
32.0,0.9661111111111111,72,DH
33.0,0.8423214285714286,56,DH
34.0,1.0122222222222224,63,DH
35.0,0.8081428571428572,70,DH
36.0,0.9680882352941176,68,DH
37.0,0.9749019607843137,51,DH
38.0,0.8678947368421052,38,DH
39.0,0.92425,40,DH
40.0,0.8203703703703703,27,DH
41.0,0.8193333333333334,15,DH
