year,entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2018,"Ellis, A.J.",454560,135,37,78.0,0.69,18,2.06,2.04,2.06,2,1.57,1.57,
2018,"Casali, Curt",592200,113,29,79.5,0.77,9,2.1,2.05,2.14,3,1.55,1.61,1.52
2018,"Barnhart, Tucker",571466,113,27,79.3,0.7,37,2.03,2.05,2.03,4,1.73,1.81,1.5
2018,"Narváez, Omar",553882,145,26,80.8,0.72,38,2.03,2.05,2.02,5,1.6,1.63,1.55
2018,"Murphy, John Ryan",571974,109,27,84.2,0.74,14,1.99,2.05,1.97,0,,,
2018,"Maxwell, Bruce",622194,133,27,80.5,0.73,12,2.09,2.05,2.11,2,1.61,1.61,
2018,"Joseph, Caleb",543376,110,32,79.8,0.73,38,2.04,2.05,2.02,3,1.53,1.61,1.49
2018,"Molina, Yadier",425877,138,35,82.2,0.76,14,2.05,2.05,2.04,0,,,
2018,"Mesoraco, Devin",519023,121,30,82.4,0.75,28,2.03,2.06,2.01,3,1.62,,1.62
2018,"Bandy, Jett",542908,158,28,80.4,0.73,5,2.04,2.06,2.0,0,,,
2018,"Garver, Mitch",641598,142,27,81.5,0.78,20,2.08,2.06,2.09,0,,,
2018,"Romine, Austin",519222,147,29,84.7,0.8,35,2.04,2.06,2.03,1,1.58,1.58,
2018,"Iannetta, Chris",455104,115,35,81.4,0.79,20,2.04,2.06,2.04,2,1.6,,1.6
2018,"Castro, Jason",488771,142,31,80.3,0.7,11,2.05,2.07,2.02,0,,,
2018,"Martin, Russell",431145,141,35,83.1,0.74,39,2.01,2.08,1.99,4,1.59,1.61,1.57
2018,"Plawecki, Kevin",608700,121,27,78.5,0.74,40,2.07,2.08,2.07,3,1.63,,1.63
2018,"Vázquez, Christian",543877,111,27,80.5,0.72,14,2.06,2.08,2.02,0,,,
2018,"Chirinos, Robinson",455139,140,34,81.1,0.76,21,2.04,2.08,2.03,3,1.64,,1.64
2018,"McCann, Brian",435263,117,34,77.2,0.77,16,2.08,2.08,2.08,1,1.65,,1.65
2018,"Wilson, Bobby",435064,142,35,77.8,0.71,16,2.09,2.08,2.09,1,1.78,1.78,
2018,"Arcia, Francisco",516472,108,28,79.8,0.76,11,2.05,2.08,2.03,1,1.59,,1.59
2018,"Flowers, Tyler",452095,144,32,74.8,0.75,25,2.14,2.08,2.15,3,1.72,1.7,1.73
2018,"Sisco, Chance",642082,110,23,78.4,0.8,14,2.09,2.09,2.08,5,1.7,1.69,1.7
2018,"Suzuki, Kurt",435559,144,34,80.3,0.81,24,2.08,2.1,2.07,4,1.65,1.68,1.63
2018,"Stassi, Max",545358,117,27,79.5,0.77,26,2.09,2.1,2.08,0,,,
2018,"Mathis, Jeff",425772,109,35,78.6,0.74,16,2.07,2.12,2.05,1,1.6,1.6,
2018,"Barnes, Austin",605131,119,28,76.0,0.72,9,2.11,2.12,2.1,0,,,
2018,"Gimenez, Chris",460269,142,35,79.4,0.78,5,2.12,2.14,2.1,3,1.61,1.63,1.59
2018,"Caratini, Victor",605170,112,24,80.7,0.81,14,2.08,2.15,2.07,3,1.69,1.65,1.7
2018,"Jansen, Danny",643376,141,23,81.9,0.82,11,2.08,2.16,2.03,2,1.62,,1.62
2018,"Freitas, David",571679,136,29,79.4,0.78,6,2.12,,2.12,1,1.76,1.76,
2018,"Peña, Francisco",506747,138,28,81.3,0.77,7,2.03,,2.03,1,1.65,1.65,
