last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19,id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19
Soto,Geovany,434567.0,2015,1524.0,-1.0,46.9,11.7,33.8,11.7,74.4,62.8,29.6,48.9,29.8,,,,,,,,,,,,,,,,,,,,,
Arencibia,J.P.,450317.0,2015,531.0,-1.0,42.9,28.6,27.1,0.0,82.2,49.4,34.8,42.6,17.5,,,,,,,,,,,,,,,,,,,,,
Cruz,Tony,488810.0,2015,934.0,-1.0,45.9,20.0,26.9,2.5,75.6,65.7,32.9,38.0,23.0,,,,,,,,,,,,,,,,,,,,,
Brantly,Rob,542963.0,2015,312.0,-2.0,36.2,15.4,23.1,10.0,56.3,57.1,16.7,32.8,14.9,,,,,,,,,,,,,,,,,,,,,
Gimenez,Chris,460269.0,2015,1026.0,-2.0,43.5,19.2,28.6,5.0,83.3,52.7,43.7,40.3,18.6,,,,,,,,,,,,,,,,,,,,,
Martin,Russell,431145.0,2015,3432.0,-2.0,46.0,26.8,36.1,10.9,77.5,55.3,37.1,44.9,16.4,,,,,,,,,,,,,,,,,,,,,
Lavarnway,Ryan,543432.0,2015,769.0,-2.0,43.4,28.4,42.5,5.6,76.3,56.4,34.9,34.6,9.2,,,,,,,,,,,,,,,,,,,,,
Hayes,Brett,451109.0,2015,289.0,-2.0,36.0,18.2,31.1,0.0,56.8,56.6,9.5,40.9,11.8,,,,,,,,,,,,,,,,,,,,,
Blair,Carson,542942.0,2015,330.0,-3.0,29.4,5.3,16.3,5.0,61.4,37.8,29.6,25.4,6.5,,,,,,,,,,,,,,,,,,,,,
Castillo,Welington,456078.0,2015,2542.0,-3.0,44.7,11.2,28.3,6.5,68.1,58.6,34.1,48.5,22.8,,,,,,,,,,,,,,,,,,,,,
Vogt,Stephen,519390.0,2015,2662.0,-3.0,45.5,15.1,26.7,12.0,77.6,62.3,31.4,38.5,21.4,,,,,,,,,,,,,,,,,,,,,
Recker,Anthony,489232.0,2015,629.0,-3.0,45.0,5.6,28.4,15.4,73.6,65.3,25.0,39.8,19.0,,,,,,,,,,,,,,,,,,,,,
