last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Knapp,Andrew,595284.0,2017,1573,-3,46.7,16.8,41.9,17.9,68.3,66.5,38.8,37.6,22.2
Alfaro,Jorge,595751.0,2017,850,-3,42.5,17.2,55.1,18.4,61.1,67.6,17.1,28.1,10.5
Hundley,Nick,460026.0,2017,2118,-3,45.5,11.3,39.5,13.4,63.3,67.6,29.4,44.2,26.5
Castillo,Welington,456078.0,2017,2658,-3,47.5,16.1,22.9,13.6,67.5,70.2,33.2,48.7,30.7
Centeno,Juan,518542.0,2017,517,-3,43.1,21.6,34.1,15.0,59.6,53.6,42.1,44.4,25.4
Hanigan,Ryan,452672.0,2017,917,-3,40.5,23.7,51.7,20.0,57.4,49.4,25.4,38.7,7.5
Plawecki,Kevin,608700.0,2017,801,-3,42.4,21.4,33.8,22.7,62.4,63.1,21.3,38.8,29.8
Torrens,Luis,620443.0,2017,1029,-3,44.0,11.0,33.3,17.5,72.1,56.3,26.6,45.8,18.9
Contreras,Willson,575929.0,2017,3273,-4,46.0,12.5,29.5,15.8,57.4,69.7,32.4,44.3,33.3
Herrmann,Chris,543302.0,2017,1069,-4,45.3,8.5,27.5,7.8,59.9,71.2,26.1,48.4,36.6
Mesoraco,Devin,519023.0,2017,1098,-5,41.3,13.8,35.1,12.2,63.4,53.5,24.7,45.4,18.6
Suzuki,Kurt,435559.0,2017,2115,-5,46.1,14.5,36.4,17.0,56.0,72.3,25.2,44.1,28.0
Ruiz,Carlos,434563.0,2017,1195,-5,41.3,15.3,16.4,14.3,62.0,53.0,26.5,51.2,20.7
Avila,Alex,488671.0,2017,2162,-5,43.4,19.2,40.1,14.0,66.1,57.2,25.1,40.7,19.4
Piña,Manny,444489.0,2017,2532,-5,46.8,20.1,37.3,15.6,69.2,71.0,31.4,40.3,22.5
Butera,Drew,460077.0,2017,1543,-6,42.6,9.2,33.6,8.0,64.8,57.7,36.9,43.3,22.8
Díaz,Elias,553869.0,2017,1455,-8,40.8,20.6,35.3,10.4,70.2,50.8,30.2,39.0,14.5
McCann,James,543510.0,2017,3072,-10,42.6,20.1,38.8,14.9,65.5,60.2,27.3,38.8,15.2
Lucroy,Jonathan,518960.0,2017,3215,-10,41.8,14.4,26.3,10.1,58.4,61.4,29.1,44.6,25.1
Barnhart,Tucker,571466.0,2017,3134,-10,43.5,15.2,32.8,12.5,60.1,65.3,34.0,43.4,23.3
Rupp,Cameron,519237.0,2017,2519,-10,43.3,17.2,38.6,18.9,65.2,68.0,19.3,36.5,16.0
Perez,Salvador,521692.0,2017,3278,-12,44.1,15.6,33.2,15.2,67.1,58.0,33.7,46.9,19.9
Wieters,Matt,446308.0,2017,3456,-12,43.5,21.4,34.6,15.0,66.2,58.8,28.1,42.9,18.3
