year,player_id,player_name,team_name,start_year,end_year,pitches,catcher_blocking_runs,blocks_above_average,n_pbwp,x_pbwp,blocks_above_average_per_game,freq_pbwp_easy,freq_pbwp_medium,freq_pbwp_tough,diff_pbwp_easy,diff_pbwp_medium,diff_pbwp_tough
2020,672386,"Kirk, Alejandro",TOR,2026,,239,0,1,2,3.057297510491917,0.1769535582413254,0.9288702928870292,0.0585774058577405,0.0125523012552301,-0.0633066414078141,1.2952904385560935,-0.1746862866563603
2020,664731,"Higgins, P.J.",CIN,2026,,153,0,1,1,1.6325815174804506,0.1653807888837778,0.954248366013072,0.0261437908496731,0.0196078431372549,0.4580040099407758,0.3135387602433095,-0.1389612527036345
2020,623168,"Heineman, Tyler",TOR,2026,,328,0,1,1,2.3006504348335213,0.1586159066870147,0.9695121951219512,0.0213414634146341,0.0091463414634146,-0.0880986310783947,0.6288206715979513,0.7599283943139639
2020,641555,"Escarra, J.C.",NYY,2026,,197,0,1,1,1.6725475651520108,0.1365578812491393,0.9695431472081222,0.0203045685279187,0.0101522842639593,-0.2963470236394423,0.4694420478592483,0.4994525409322049
2020,672515,"Moreno, Gabriel",AZ,2026,,335,0,1,1,2.134129063386687,0.1354183956282611,0.9701492537313438,0.0238805970149253,0.0059701492537313,-0.0105082776281229,0.7899794452230802,0.3546578957917299
2020,665561,"Marchán, Rafael",PHI,2026,,243,0,1,1,1.685589720083127,0.1128542749108027,0.97119341563786,0.0246913580246913,0.0041152263374485,0.974437900920868,-0.4435727654728471,0.1547245846351066
2020,666023,"Fermin, Freddy",SD,2026,,422,0,1,2,3.122921070732949,0.1064380161832178,0.9597156398104264,0.0355450236966824,0.0047393364928909,1.3220199076298085,-0.6929857097063943,0.4938868728095344
2020,668939,"Rutschman, Adley",BAL,2026,,470,0,1,4,5.011386000753258,0.0860754043194262,0.942553191489362,0.0446808510638297,0.0127659574468084,1.82430438804316,-1.0401437678921177,0.2272253806022162
2020,605170,"Caratini, Victor",MIN,2026,,360,0,1,2,2.6281804544658254,0.0697978282739806,0.9666666666666668,0.0249999999999999,0.0083333333333333,-0.0431765846946588,0.8564576932686329,-0.1851006541081483
2020,665804,"Amaya, Miguel",CHC,2026,,341,0,1,3,3.5455562254578896,0.0639948651563505,0.9442815249266864,0.0381231671554252,0.0175953079178885,1.2140612318581976,0.0674021959922312,-0.7359072023925411
2020,669224,"Wells, Austin",NYY,2026,,562,0,1,4,4.63543270236714,0.045226526858871,0.95729537366548,0.0338078291814946,0.0088967971530249,0.9564636570977736,-0.3786926151521676,0.0576616604215306
2020,642851,"Wynns, Austin",ATH,2026,,257,0,0,1,1.4925490729313229,0.076661334308377,0.980544747081712,0.0116731517509727,0.0077821011673151,0.6943007096512989,0.2459745734590543,-0.4477262101790311
2020,643376,"Jansen, Danny",TEX,2026,,527,0,0,5,5.448195793029031,0.0340186560173838,0.9544592030360528,0.032258064516129,0.0132827324478178,1.8002585947731875,0.4272706637392228,-1.7793334654833786
2020,687221,"Rushing, Dalton",LAD,2026,,249,0,0,2,2.2003876269662226,0.0321907834483891,0.9638554216867474,0.0281124497991967,0.0080321285140562,-0.1143716199886995,-0.2153348031853778,0.5300940501402996
2020,663698,"Bart, Joey",PIT,2026,,430,0,0,3,3.337093906088043,0.0313575726593527,0.9604651162790702,0.0348837209302325,0.0046511627906976,-0.6791743728197541,0.4199268619330162,0.5963414169747805
2020,693307,"Dingler, Dillon",DET,2026,,585,0,0,5,5.389408819465395,0.02662624406601,0.941880341880342,0.0478632478632478,0.0102564102564102,-0.151008227587569,-0.5773767203153864,1.117793767368352
2020,663743,"Fortes, Nick",TB,2026,,662,0,0,6,6.23917790852828,0.0144518373733099,0.95619335347432,0.0317220543806646,0.0120845921450151,2.220359585447582,-0.084118998233574,-1.897062678685728
2020,686780,"Pagés, Pedro",STL,2026,,576,0,0,5,4.84144998133407,-0.0110104179629118,0.953125,0.0399305555555555,0.0069444444444444,0.0335538450913035,0.0131193945830171,-0.2052232583402507
2020,543510,"McCann, James",AZ,2026,,257,0,0,2,1.77470348106458,-0.0350656060599875,0.980544747081712,0.0155642023346303,0.0038910505836575,-0.1971548555168811,0.3341691420876197,-0.3623108055061586
2020,671056,"Herrera, Iván",STL,2026,,299,0,0,3,2.6959782226513447,-0.0406718096787497,0.9498327759197318,0.040133779264214,0.0100334448160535,-0.0069692780151259,-0.0698862378610661,-0.227166261472462
2020,624512,"McGuire, Reese",CWS,2026,,328,0,0,4,3.5388388389891325,-0.056239165976935,0.954268292682927,0.0274390243902438,0.0182926829268292,-1.9868898820659904,0.7533589651451499,0.7723697559099733
2020,592663,"Realmuto, J.T.",PHI,2026,,691,0,-1,5,4.278793785701776,-0.041748550755324,0.9739507959479012,0.0202604920405209,0.0057887120115774,0.300235317928774,1.2539792603110276,-2.275420792538025
2020,661388,"Contreras, William",MIL,2026,,599,0,-1,5,4.276695247635764,-0.0483008181879286,0.9599332220367276,0.026711185308848,0.013355592654424,0.6132557121953803,0.2035883651204433,-1.5401488296800574
2020,521692,"Perez, Salvador",KC,2026,,520,0,-1,5,4.262129983701112,-0.0567592320229914,0.9615384615384616,0.0288461538461538,0.0096153846153846,0.414781279032267,0.4628614681449315,-1.6155127634760853
2020,672275,"Bailey, Patrick",SF,2026,,625,0,-1,5,3.985085717158949,-0.0649545141018272,0.9648,0.0288,0.0064,0.6662537867504201,-2.434768591896118,0.7536005223046479
2020,673237,"Diaz, Yainer",HOU,2026,,647,0,-1,5,3.710228160969578,-0.0797385990126998,0.9675425038639872,0.0278207109737248,0.0046367851622874,0.6894722516108125,-0.5970188611199417,-1.382225229521291
2020,668670,"Rogers, Jake",DET,2026,,265,0,-1,3,2.445376602008153,-0.0837167393195242,0.9433962264150946,0.0490566037735848,0.0075471698113207,-1.1511777664477554,0.0517326001350271,0.5448217683208808
2020,608348,"Kelly, Carson",CHC,2026,,391,0,-1,5,4.027251226591278,-0.0995139410136797,0.9565217391304346,0.030690537084399,0.0127877237851662,0.408406881543937,1.0539662809612746,-2.435121935913931
2020,518595,"d'Arnaud, Travis",LAA,2026,,202,0,-1,2,1.4671903662647054,-0.1055068581654047,0.9653465346534656,0.0297029702970297,0.0049504950495049,0.7494986626914386,-0.5681410100646587,-0.7141672863620749
2020,678218,"Valenzuela, Brandon",TOR,2026,,292,0,-1,3,2.201573060268551,-0.1093735533878697,0.9623287671232874,0.0273972602739726,0.0102739726027397,0.7942662362227262,-2.293785944183342,0.7010927682291676
2020,669257,"Smith, Will",LAD,2026,,472,0,-1,5,3.6905438947954887,-0.1109708563732636,0.9639830508474578,0.0275423728813559,0.0084745762711864,-0.3474190495739127,-0.7503872505962156,-0.2116498050343828
2020,664954,"Sullivan, Brett",COL,2026,,400,0,-1,4,2.5086504755420043,-0.1491349524457995,0.9725,0.025,0.0025,-0.5316423312024482,-1.1403289210620735,0.1806217278065271
2020,657136,"Wong, Connor",BOS,2026,,288,0,-1,4,2.552184017291419,-0.2010855531539698,0.940972222222222,0.0520833333333333,0.0069444444444444,-2.101038786481681,0.3021022737182388,0.3511205300548595
2020,676439,"Feduccia, Hunter",TB,2026,,224,0,-1,3,1.8636642739179143,-0.2029170939432296,0.941964285714286,0.0535714285714285,0.0044642857142857,-1.446575937516537,0.1383075008287823,0.1719327106056689
2020,686452,"Millas, Drew",WSH,2026,,504,0,-2,8,6.181626501444545,-0.1443153570282103,0.9384920634920632,0.0396825396825396,0.0218253968253968,-0.3204310421469244,-1.192868514712467,-0.305073941696061
2020,680777,"Jeffers, Ryan",MIN,2026,,585,-1,-2,8,5.64511787445055,-0.1610175812341505,0.957264957264957,0.0273504273504273,0.0153846153846153,-0.9960629231338042,-0.5097872639432383,-0.8490319384724103
2020,689414,"Hicks, Liam",MIA,2026,,437,0,-2,6,4.0497902539165,-0.1785089012433408,0.949656750572082,0.0389016018306636,0.0114416475972539,-0.721504052218702,0.353749948758027,-1.5824556426228231
2020,666310,"Naylor, Bo",CLE,2026,,509,-1,-2,6,3.5332424537792133,-0.1938512806460343,0.9567779960707266,0.0392927308447937,0.0039292730844793,-1.4853833789249142,-1.3837097575208612,0.4023355902249892
